종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"340350","SK6호스팩","KOSDAQ","SPAC(소속부없음)","2050","0","0.00","2050","2055","2050","2540","5211875","11705500000","5710000"
"011790","SKC","KOSPI",,"114000","0","0.00","0","0","0","0","0","4316985972000","37868298"
"018670","SK가스","KOSPI",,"105000","0","0.00","105000","105500","104500","55531","5826978000","969175620000","9230244"
"001740","SK네트웍스","KOSPI",,"5750","110","1.95","5550","5750","5510","1993046","11319897570","1427078970250","248187647"
"001745","SK네트웍스우","KOSPI",,"108000","500","0.47","107500","110000","107500","219","23721000","12273984000","113648"
"006120","SK디스커버리","KOSPI",,"60200","-400","-0.66","59600","60200","58800","178548","10576800000","1146078871000","19037855"
"006125","SK디스커버리우","KOSPI",,"47000","-1700","-3.49","48100","48100","46500","45671","2145739850","63847385000","1358455"
"210980","SK디앤디","KOSPI",,"37400","250","0.67","36850","37450","36550","53949","2000941250","710232133600","18990164"
"068400","SK렌터카","KOSPI",,"10550","100","0.96","10300","10600","10300","151767","1589316750","498865612000","47285840"
"036490","SK머티리얼즈","KOSDAQ","우량기업부","305300","-8000","-2.55","312000","312100","304700","53616","16385002800","3220204566900","10547673"
"302440","SK바이오사이언스","KOSPI",,"166500","-2500","-1.48","184000","190000","166000","12206715","2183594927000","12737250000000","76500000"
"326030","SK바이오팜","KOSPI",,"107000","-3500","-3.17","108000","109000","106000","467659","50020216000","8379517750000","78313250"
"03473K","SK우","KOSPI",,"242000","-500","-0.21","238000","247500","237000","3820","922649500","137004670000","566135"
"096770","SK이노베이션","KOSPI",,"211500","-3000","-1.40","208500","215500","205500","1105353","231947158500","19556466786000","92465564"
"096775","SK이노베이션우","KOSPI",,"156500","0","0.00","154500","158000","151500","8711","1343133000","195378669000","1248426"
"001510","SK증권","KOSPI",,"868","-2","-0.23","863","884","855","8295877","7192479065","410208268428","472590171"
"001515","SK증권우","KOSPI",,"4650","55","1.20","4550","4650","4550","25090","115048480","18193190100","3912514"
"285130","SK케미칼","KOSPI",,"290000","-11000","-3.65","293000","296000","285000","477308","137704899000","3405004840000","11741396"
"28513K","SK케미칼우","KOSPI",,"140000","-10500","-6.98","144500","146000","139500","88772","12520335000","204213800000","1458670"
"017670","SK텔레콤","KOSPI",,"254500","-2500","-0.97","255000","257000","252000","245582","62401918000","20549783449500","80745711"
"000660","SK하이닉스","KOSPI",,"138000","-4000","-2.82","138000","139500","137000","3898462","539270146001","100464326370000","728002365"
"048550","SM C&C","KOSDAQ","중견기업부","1735","10","0.58","1715","1740","1710","224510","387635215","164148558200","94610120"
"063440","SM Life Design","KOSDAQ","중견기업부","3080","-5","-0.16","3025","3155","3005","2582849","7973165375","138997794320","45129154"
"950180","SNK","KOSDAQ","외국기업(소속부없음)","29000","1200","4.32","27000","30300","26250","1116057","31825968050","610792200000","21061800"
"064960","SNT모티브","KOSPI",,"62800","-1600","-2.48","63800","63800","62200","52051","3267922300","918332940800","14623136"
"100840","SNT에너지","KOSPI",,"16350","-150","-0.91","16450","16450","16200","19335","314937850","122734724850","7506711"
"003570","SNT중공업","KOSPI",,"7930","-20","-0.25","7900","7940","7750","61671","484301280","263693887210","33252697"
"036530","SNT홀딩스","KOSPI",,"18800","350","1.90","18400","18900","18350","29209","546208800","306513056800","16303886"
"005610","SPC삼립","KOSPI",,"72000","-600","-0.83","72300","72500","71500","9109","655780300","621288648000","8629009"
