"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016년 06월 21일","2,088.9","2,085.2","2,093.7","2,083.0","-","0.27%"
"2016년 06월 20일","2,083.3","2,075.6","2,100.7","2,075.6","-","0.58%"
"2016년 06월 17일","2,071.2","2,078.2","2,078.2","2,062.8","-","-0.33%"
"2016년 06월 16일","2,078.0","2,066.4","2,079.6","2,050.4","-","0.31%"
"2016년 06월 15일","2,071.5","2,077.6","2,085.6","2,069.8","-","-0.18%"
"2016년 06월 14일","2,075.3","2,076.6","2,081.3","2,064.1","-","-0.18%"
"2016년 06월 13일","2,079.1","2,091.8","2,098.1","2,078.5","-","-0.81%"
"2016년 06월 10일","2,096.1","2,109.6","2,109.6","2,090.0","-","-0.92%"
"2016년 06월 09일","2,115.5","2,115.6","2,117.6","2,107.7","-","-0.17%"
"2016년 06월 08일","2,119.1","2,112.7","2,120.6","2,112.7","-","0.33%"
"2016년 06월 07일","2,112.1","2,110.2","2,119.2","2,110.2","-","0.13%"
"2016년 06월 06일","2,109.4","2,100.8","2,113.4","2,100.8","-","0.49%"
"2016년 06월 03일","2,099.1","2,104.1","2,104.1","2,085.4","-","-0.29%"
"2016년 06월 02일","2,105.3","2,097.7","2,105.3","2,088.6","-","0.28%"
"2016년 06월 01일","2,099.3","2,093.9","2,101.0","2,085.1","-","0.11%"
"2016년 05월 31일","2,097.0","2,100.1","2,103.5","2,088.7","-","-0.20%"
"2016년 05월 30일","2,101.3","2,101.3","2,103.8","2,099.8","-","-0.01%"
"2016년 05월 29일","2,101.5","2,099.6","2,103.3","2,099.5","-","0.12%"
"2016년 05월 27일","2,099.1","2,090.1","2,099.1","2,090.1","-","0.43%"
"2016년 05월 26일","2,090.1","2,091.4","2,094.3","2,087.1","-","-0.02%"
"2016년 05월 25일","2,090.5","2,078.9","2,094.7","2,078.9","-","0.70%"
"2016년 05월 24일","2,076.1","2,052.6","2,079.7","2,052.6","-","1.37%"
"2016년 05월 23일","2,048.0","2,052.2","2,055.6","2,047.3","-","-0.21%"
"2016년 05월 20일","2,052.3","2,041.9","2,058.4","2,041.9","-","0.60%"
"2016년 05월 19일","2,040.0","2,044.2","2,044.2","2,025.9","-","-0.37%"
"2016년 05월 18일","2,047.6","2,044.4","2,060.6","2,034.5","-","0.02%"
"2016년 05월 17일","2,047.2","2,065.0","2,065.7","2,040.8","-","-0.94%"
"2016년 05월 16일","2,066.7","2,046.5","2,071.9","2,046.5","-","0.98%"
"2016년 05월 13일","2,046.6","2,062.5","2,066.8","2,043.1","-","-0.85%"
"2016년 05월 12일","2,064.1","2,067.2","2,074.0","2,053.1","-","-0.02%"
"2016년 05월 11일","2,064.5","2,083.3","2,083.3","2,064.5","-","-0.96%"
"2016년 05월 10일","2,084.4","2,062.6","2,084.9","2,062.6","-","1.25%"
"2016년 05월 09일","2,058.7","2,057.6","2,064.1","2,054.3","-","0.08%"
"2016년 05월 06일","2,057.1","2,047.8","2,057.7","2,039.4","-","0.32%"
"2016년 05월 05일","2,050.6","2,052.9","2,060.2","2,045.8","-","-0.02%"
"2016년 05월 04일","2,051.1","2,060.3","2,060.3","2,045.6","-","-0.59%"
"2016년 05월 03일","2,063.4","2,077.2","2,077.2","2,054.9","-","-0.87%"
"2016년 05월 02일","2,081.4","2,067.2","2,083.4","2,066.1","-","0.78%"
"2016년 04월 29일","2,065.3","2,071.8","2,073.9","2,052.3","-","-0.51%"
"2016년 04월 28일","2,075.8","2,090.9","2,099.3","2,071.6","-","-0.92%"
"2016년 04월 27일","2,095.1","2,092.3","2,099.9","2,082.3","-","0.16%"
"2016년 04월 26일","2,091.7","2,089.8","2,096.9","2,085.8","-","0.19%"
"2016년 04월 25일","2,087.8","2,089.4","2,089.4","2,077.5","-","-0.18%"
"2016년 04월 22일","2,091.6","2,091.5","2,094.3","2,081.2","-","0.00%"
"2016년 04월 21일","2,091.5","2,102.1","2,103.8","2,088.5","-","-0.52%"
"2016년 04월 20일","2,102.4","2,101.5","2,111.1","2,096.3","-","0.08%"
"2016년 04월 19일","2,100.8","2,096.1","2,104.1","2,091.7","-","0.31%"
"2016년 04월 18일","2,094.3","2,078.8","2,094.7","2,073.6","-","0.65%"
"2016년 04월 15일","2,080.7","2,083.1","2,083.2","2,076.3","-","-0.10%"
"2016년 04월 14일","2,082.8","2,082.9","2,087.8","2,078.1","-","0.02%"
"2016년 04월 13일","2,082.4","2,065.9","2,083.2","2,065.9","-","1.00%"
"2016년 04월 12일","2,061.7","2,043.7","2,065.1","2,039.7","-","0.97%"
"2016년 04월 11일","2,042.0","2,050.2","2,062.9","2,041.9","-","-0.27%"
"2016년 04월 08일","2,047.6","2,045.5","2,060.6","2,041.7","-","0.28%"
"2016년 04월 07일","2,041.9","2,063.0","2,063.0","2,033.8","-","-1.20%"
"2016년 04월 06일","2,066.7","2,045.6","2,067.3","2,043.1","-","1.05%"
"2016년 04월 05일","2,045.2","2,062.5","2,062.5","2,042.6","-","-1.01%"
"2016년 04월 04일","2,066.1","2,073.2","2,074.0","2,062.6","-","-0.32%"
"2016년 04월 01일","2,072.8","2,056.6","2,075.1","2,044.0","-","0.63%"
"2016년 03월 31일","2,059.7","2,063.8","2,067.9","2,057.5","-","-0.20%"
"2016년 03월 30일","2,063.9","2,058.3","2,072.2","2,058.3","-","0.44%"
"2016년 03월 29일","2,055.0","2,035.8","2,055.9","2,028.3","-","0.88%"
"2016년 03월 28일","2,037.1","2,037.9","2,042.7","2,032.0","-","0.05%"
"2016년 03월 24일","2,035.9","2,032.5","2,036.0","2,022.5","-","-0.04%"
"2016년 03월 23일","2,036.7","2,048.6","2,048.6","2,034.9","-","-0.64%"
"2016년 03월 22일","2,049.8","2,048.6","2,056.6","2,040.6","-","-0.09%"
"2016년 03월 21일","2,051.6","2,047.9","2,053.9","2,043.1","-","0.10%"
"2016년 03월 18일","2,049.6","2,041.2","2,052.4","2,041.2","-","0.44%"
"2016년 03월 17일","2,040.6","2,026.9","2,046.2","2,022.2","-","0.66%"
"2016년 03월 16일","2,027.2","2,014.2","2,032.0","2,010.0","-","0.56%"
"2016년 03월 15일","2,015.9","2,015.3","2,015.9","2,005.2","-","-0.18%"
"2016년 03월 14일","2,019.6","2,019.3","2,024.6","2,012.1","-","-0.13%"
"2016년 03월 11일","2,022.2","1,994.7","2,022.4","1,994.7","-","1.64%"
"2016년 03월 10일","1,989.6","1,991.0","2,005.1","1,969.3","-","0.02%"
"2016년 03월 09일","1,989.3","1,981.4","1,992.7","1,979.8","-","0.51%"
"2016년 03월 08일","1,979.3","1,996.9","1,996.9","1,977.4","-","-1.12%"
"2016년 03월 07일","2,001.8","1,996.1","2,006.1","1,989.4","-","0.09%"
